filename,width,height,class,xmin,ymin,xmax,ymax
img1.jpg,600,399,empty,395,186,523,271
img1.jpg,600,399,empty,351,255,515,388
img1.jpg,600,399,empty,253,234,404,372
img1.jpg,600,399,empty,304,181,435,255
img1.jpg,600,399,empty,207,171,353,240
img1.jpg,600,399,empty,113,227,316,336
img1.jpg,600,399,empty,67,209,219,326
img1.jpg,600,399,empty,132,145,279,234
img1.jpg,600,399,empty,52,141,199,230
img1.jpg,600,399,empty,1,134,133,213
img1.jpg,600,399,empty,1,201,130,303
img1.jpg,600,399,empty,1,63,48,98
img1.jpg,600,399,empty,10,74,92,105
img1.jpg,600,399,empty,39,76,147,109
img1.jpg,600,399,empty,91,79,199,112
img1.jpg,600,399,empty,142,84,250,117
img1.jpg,600,399,empty,197,88,305,121
img1.jpg,600,399,empty,263,94,360,127
img1.jpg,600,399,empty,321,98,414,133
img1.jpg,600,399,empty,386,103,470,142
img1.jpg,600,399,empty,446,109,530,148
img1.jpg,600,399,empty,518,112,593,156
img1.jpg,600,399,empty,524,90,588,122
img1.jpg,600,399,empty,465,83,534,119
img1.jpg,600,399,empty,408,75,480,114
img1.jpg,600,399,empty,352,78,427,107
img1.jpg,600,399,empty,296,73,379,103
img1.jpg,600,399,empty,248,67,331,97
img1.jpg,600,399,empty,143,58,226,88
img1.jpg,600,399,empty,99,55,192,85
img1.jpg,600,399,empty,56,52,149,82
img1.jpg,600,399,empty,14,49,98,76
img1.jpg,600,399,empty,531,53,583,73
img1.jpg,600,399,occupied,196,61,282,95
img1.jpg,600,399,empty,532,42,584,62
img1.jpg,600,399,empty,492,37,544,57
img1.jpg,600,399,empty,488,49,540,69
img1.jpg,600,399,empty,451,35,501,56
img1.jpg,600,399,empty,444,45,496,65
img1.jpg,600,399,empty,412,31,462,52
img1.jpg,600,399,empty,402,43,452,64
img1.jpg,600,399,empty,356,39,417,64
img1.jpg,600,399,empty,370,30,427,46
img1.jpg,600,399,empty,317,37,381,56
img1.jpg,600,399,empty,329,27,393,46
img1.jpg,600,399,empty,290,26,357,41
img1.jpg,600,399,empty,278,35,345,50
img1.jpg,600,399,empty,232,32,302,50
img1.jpg,600,399,empty,259,22,321,40
img1.jpg,600,399,empty,226,20,288,38
img1.jpg,600,399,empty,201,30,263,48
img1.jpg,600,399,empty,187,20,249,38
img1.jpg,600,399,empty,164,27,226,45
